;;Company Info;;KEY FINANCIALS;;;;;
Rank;Company Name;Number of Employees;"Change in 
Rank";"Revenues
($millions)";"Revenue 
Change";"Profits
($millions)";"Profit 
Change";"Assets
($millions)";"Market Value 
As of 3/31/20 ($m)"
1;Walmart;2.200.000;-;523.964 US$;1,9%;US$14.881,0 ;123,1%;236.495 US$;321.803 US$
2;Amazon.com;798.000;3 ;280.522 US$;20,5%;US$11.588,0 ;15,0%;225.248 US$;970.680 US$
3;Exxon Mobil;74.900;-1 ;264.938 US$;-8,7%;US$14.340,0 ;-31,2%;362.597 US$;160.696 US$
4;Apple;137.000;-1 ;260.174 US$;-2,0%;US$55.256,0 ;-7,2%;338.516 US$;1.112.641 US$
5;CVS Health;290.000;3 ;256.776 US$;32,0%;US$6.634,0 ;-;222.449 US$;77.376 US$
6;Berkshire Hathaway;391.500;-2 ;254.616 US$;2,7%;US$81.417,0 ;1924,8%;817.729 US$;442.897 US$
7;UnitedHealth Group;325.000;-1 ;242.155 US$;7,0%;US$13.839,0 ;15,5%;173.889 US$;236.555 US$
8;McKesson;70.000;-1 ;214.319 US$;2,9%;US$34,0 ;-49,3%;59.672 US$;21.845 US$
9;AT&T;247.800;-;181.193 US$;6,1%;US$13.903,0 ;-28,2%;551.669 US$;209.388 US$
10;AmerisourceBergen;21.500;-;179.589 US$;6,9%;US$855,4 ;-48,4%;39.172 US$;18.221 US$
11;Alphabet;118.899;4 ;161.857 US$;18,3%;US$34.343,0 ;11,7%;275.909 US$;798.905 US$
12;Ford Motor;190.000;-;155.900 US$;-2,8%;US$47,0 ;-98,7%;258.537 US$;19.151 US$
13;Cigna;73.700;52 ;153.566 US$;215,7%;US$5.104,0 ;93,6%;155.774 US$;65.897 US$
14;Costco Wholesale;201.500;-;152.703 US$;7,9%;US$3.659,0 ;16,8%;45.400 US$;125.908 US$
15;Chevron;48.200;-4 ;146.516 US$;-11,9%;US$2.924,0 ;-80,3%;237.428 US$;136.176 US$
16;Cardinal Health;49.500;-;145.534 US$;6,4%;US$1.363,0 ;432,4%;40.963 US$;13.988 US$
17;JPMorgan Chase;256.981;1 ;142.422 US$;8,4%;US$36.431,0 ;12,2%;2.687.379 US$;276.750 US$
18;General Motors;164.000;-5 ;137.237 US$;-6,7%;US$6.732,0 ;-16,0%;228.037 US$;29.695 US$
19;Walgreens Boots Alliance;287.000;-2 ;136.866 US$;4,1%;US$3.982,0 ;-20,7%;67.598 US$;40.528 US$
20;Verizon Communications;135.000;-1 ;131.868 US$;0,8%;US$19.265,0 ;24,1%;291.727 US$;222.220 US$
21;Microsoft;144.000;5 ;125.843 US$;14,0%;US$39.240,0 ;136,8%;286.556 US$;1.199.550 US$
